                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.45001,                0.38661,                0.99912,                0.98621,                      1,                  0.995,                0.98804,                0.22692,                0.16037,                0.85797,               0.006007,               0.006007,               0.006007
                    124,                0.44645,                 0.3765,                0.99904,                0.98677,                      1,                  0.995,                0.98542,                0.24876,                0.15569,                0.88104,               0.005974,               0.005974,               0.005974
                    125,                0.44231,                0.37702,                 0.9902,                0.98754,                 0.9949,                  0.995,                 0.9837,                0.25742,                0.17242,                0.88905,               0.005941,               0.005941,               0.005941
                    126,                0.44042,                 0.3759,                0.98889,                 0.9861,                0.98333,                0.99421,                0.98288,                0.27405,                0.17659,                0.89908,               0.005908,               0.005908,               0.005908
                    127,                0.44688,                0.37844,                 0.9981,                0.98154,                0.98333,                0.99421,                 0.9799,                0.29231,                0.18146,                0.91146,               0.005875,               0.005875,               0.005875
                    128,                0.44357,                0.37915,                0.99099,                0.99228,                0.97846,                0.99421,                0.98175,                0.29012,                0.19692,                0.91221,               0.005842,               0.005842,               0.005842
                    129,                0.44172,                0.37438,                0.99391,                0.97411,                0.98333,                0.99348,                0.97493,                0.29774,                0.21074,                0.91535,               0.005809,               0.005809,               0.005809
                    130,                0.44028,                 0.3763,                0.99133,                0.97162,                0.98333,                0.99265,                0.98219,                0.27712,                0.21891,                0.89389,               0.005776,               0.005776,               0.005776
                    131,                0.44241,                0.37387,                0.99515,                  0.983,                      1,                0.99341,                 0.9838,                0.27217,                0.20622,                0.89683,               0.005743,               0.005743,               0.005743
                    132,                0.44569,                0.38321,                0.99924,                0.98281,                      1,                0.99262,                0.98183,                0.29169,                0.20066,                0.91509,                0.00571,                0.00571,                0.00571
                    133,                0.43831,                0.36735,                0.99266,                0.98387,                      1,                0.99262,                0.97854,                0.31132,                0.22354,                  0.935,               0.005677,               0.005677,               0.005677
                    134,                0.43234,                0.37074,                0.98765,                0.97952,                      1,                0.99262,                0.97597,                0.35405,                0.24153,                 1.0049,               0.005644,               0.005644,               0.005644
                    135,                0.43293,                0.36693,                0.99118,                0.95154,                      1,                0.99262,                0.97582,                0.35623,                 0.2408,                 1.0151,               0.005611,               0.005611,               0.005611
                    136,                0.43631,                0.36659,                 0.9921,                0.94824,                      1,                0.99183,                0.97663,                0.32603,                0.24982,                  0.974,               0.005578,               0.005578,               0.005578
                    137,                0.43518,                0.37709,                0.98762,                0.95626,                      1,                  0.995,                 0.9807,                0.29651,                0.24331,                0.93056,               0.005545,               0.005545,               0.005545
                    138,                0.43395,                0.36342,                0.99123,                0.95703,                      1,                  0.995,                0.97984,                0.32206,                0.23423,                0.96287,               0.005512,               0.005512,               0.005512
                    139,                0.43469,                0.36836,                0.99426,                0.96646,                      1,                  0.995,                0.97061,                0.42001,                0.22119,                 1.0885,               0.005479,               0.005479,               0.005479
                    140,                0.42757,                0.35799,                0.98258,                0.97658,                0.99996,                  0.995,                0.96763,                0.40774,                0.21147,                 1.0811,               0.005446,               0.005446,               0.005446
                    141,                0.43281,                0.36115,                0.98864,                   0.96,                0.99823,                0.99421,                0.96724,                0.41021,                0.21462,                 1.0763,               0.005413,               0.005413,               0.005413
                    142,                0.43127,                0.35931,                0.98918,                0.97531,                      1,                  0.995,                0.96963,                0.40352,                0.20296,                 1.0998,                0.00538,                0.00538,                0.00538
                    143,                 0.4365,                 0.3715,                0.99275,                0.97625,                0.99573,                  0.995,                0.96846,                0.41269,                0.20412,                  1.102,               0.005347,               0.005347,               0.005347
                    144,                0.42987,                0.36171,                0.98277,                0.98661,                      1,                  0.995,                0.96865,                0.40891,                0.20864,                 1.0815,               0.005314,               0.005314,               0.005314
                    145,                0.42912,                0.35803,                0.98166,                0.98043,                      1,                  0.995,                 0.9709,                0.38488,                 0.2172,                 1.0369,               0.005281,               0.005281,               0.005281
                    146,                0.43463,                  0.355,                0.98575,                0.96952,                      1,                0.99341,                0.97127,                0.37454,                0.20418,                 1.0209,               0.005248,               0.005248,               0.005248
                    147,                0.43264,                0.36308,                0.99094,                0.96823,                      1,                0.99341,                0.97239,                0.35093,                0.18675,                0.99799,               0.005215,               0.005215,               0.005215
                    148,                0.42412,                0.35161,                0.97735,                0.96821,                0.99962,                0.99341,                0.97404,                0.34424,                0.18749,                0.98366,               0.005182,               0.005182,               0.005182
                    149,                0.43083,                0.35583,                0.98262,                0.96841,                0.99931,                0.99421,                0.97424,                0.33739,                0.19013,                0.97763,               0.005149,               0.005149,               0.005149
                    150,                0.42416,                0.34893,                0.98158,                0.97177,                0.98886,                0.99421,                0.97396,                0.33331,                0.19637,                0.97853,               0.005116,               0.005116,               0.005116
                    151,                0.43348,                 0.3645,                0.98903,                0.97151,                0.98426,                0.99421,                0.97514,                 0.3259,                0.19811,                0.97244,               0.005083,               0.005083,               0.005083
                    152,                0.42599,                0.35244,                0.97977,                0.98944,                0.98333,                0.99348,                0.97337,                0.32737,                0.19976,                0.97151,                0.00505,                0.00505,                0.00505
                    153,                0.42773,                0.34722,                0.98272,                0.97023,                0.99314,                0.99421,                 0.9748,                0.32558,                0.20458,                0.97189,               0.005017,               0.005017,               0.005017
