                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.45758,                0.38403,                 1.0073,                0.97255,                0.98333,                0.99421,                  0.986,                0.28543,                0.18176,                0.94043,               0.007756,               0.007756,               0.007756
                     71,                0.45984,                0.38365,                 1.0069,                0.97093,                0.98333,                0.99421,                0.98603,                0.28431,                0.18887,                0.93981,               0.007723,               0.007723,               0.007723
                     72,                0.45623,                0.38472,                 1.0064,                0.97579,                0.98316,                0.99421,                0.98621,                0.28218,                0.18389,                0.93702,                0.00769,                0.00769,                0.00769
                     73,                0.45869,                0.38661,                 1.0046,                0.97638,                0.98167,                0.99421,                0.98624,                0.28469,                 0.1841,                0.93656,               0.007657,               0.007657,               0.007657
                     74,                0.45571,                0.38416,                 1.0062,                 0.9766,                0.98104,                0.99421,                0.98624,                0.28661,                0.18882,                0.93643,               0.007624,               0.007624,               0.007624
                     75,                0.45876,                0.38084,                 1.0048,                0.97638,                0.98132,                0.99421,                0.98628,                0.28752,                0.18865,                0.93469,               0.007591,               0.007591,               0.007591
                     76,                0.45899,                0.38445,                 1.0037,                0.97588,                0.98245,                0.99421,                0.98631,                0.28894,                0.18827,                0.93499,               0.007558,               0.007558,               0.007558
                     77,                0.45523,                0.37616,                      1,                0.97554,                0.98286,                0.99421,                0.98631,                0.28873,                0.18494,                0.93321,               0.007525,               0.007525,               0.007525
                     78,                0.45372,                0.37752,                  1.002,                0.97528,                0.98235,                0.99421,                0.98631,                0.28812,                0.18315,                0.93194,               0.007492,               0.007492,               0.007492
                     79,                0.45177,                0.37328,                0.99933,                0.97929,                 0.9743,                0.99421,                0.98628,                0.28488,                0.18528,                 0.9302,               0.007459,               0.007459,               0.007459
                     80,                0.45468,                0.37656,                 1.0021,                0.97935,                0.97378,                0.99421,                0.98628,                0.28522,                0.18376,                0.92939,               0.007426,               0.007426,               0.007426
                     81,                0.45071,                0.37611,                 1.0017,                0.97955,                0.97265,                0.99421,                0.98628,                0.28477,                0.18528,                0.92959,               0.007393,               0.007393,               0.007393
                     82,                0.44879,                 0.3693,                0.99629,                0.97885,                0.97348,                0.99421,                0.98621,                0.28576,                0.18258,                0.93029,                0.00736,                0.00736,                0.00736
                     83,                0.44886,                0.37082,                0.99699,                0.97271,                0.98504,                  0.995,                0.98683,                0.28689,                0.18424,                 0.9317,               0.007327,               0.007327,               0.007327
                     84,                0.44409,                0.37014,                 0.9962,                0.97296,                0.98546,                  0.995,                 0.9868,                0.28929,                0.18517,                0.93274,               0.007294,               0.007294,               0.007294
                     85,                0.44699,                0.37106,                0.99642,                0.97197,                0.98688,                  0.995,                0.98677,                0.29121,                0.18569,                0.93349,               0.007261,               0.007261,               0.007261
